GSM367804.CEL	GSM367805.CEL	GSM367806.CEL	GSM367807.CEL	GSM367808.CEL	GSM367809.CEL	GSM367810.CEL	GSM367811.CEL	GSM367812.CEL	GSM367813.CEL	GSM367814.CEL	GSM367815.CEL	GSM367816.CEL	GSM367817.CEL	GSM367818.CEL	GSM367819.CEL	GSM367820.CEL	GSM367821.CEL	GSM367822.CEL	GSM367823.CEL	GSM367824.CEL	GSM367825.CEL	GSM367826.CEL
100009676_at	5.71093782465618	5.76485879381825	5.41534334674554	5.82074059891672	5.74593825655011	6.10746456657222	5.58670548279476	5.86335116851025	5.82890806822514	5.51261449282622	5.69506870908568	5.53773910647146	5.9059523273365	5.6573403640071	5.78805908180133	5.57762141858001	5.80013541085108	5.8983561543433	5.62408752047487	6.05858993373113	5.88631822119031	5.79823188967558	5.80086197740222
10000_at	5.80666160503803	5.82039150073458	5.35123533678936	5.56517703236	5.32331637488538	5.67620357310314	5.58073975173721	5.47866395612818	5.60467060266711	5.44979480920512	5.48741244448671	5.55936971870352	5.71028554702112	5.62971819067089	5.62794099753247	5.74893248727775	5.90189900033103	5.41248238467496	5.57043528943953	5.68642812983428	5.67201480131655	5.61502869639451	5.59631372611467
100049716_at	5.57974599939564	5.60766543248646	5.4548174484538	5.59723915402843	5.30162952469058	5.63818155615052	5.44061743283471	5.455710565361	5.52512264632688	5.3517170876757	5.40548458677282	5.41779425137286	5.52247023969072	5.59835133585634	5.46807998483474	5.39013118356037	5.50389738408905	5.46918410953632	5.35151129594336	5.65286403095788	5.53567044275167	5.57261944783549	5.49460091431487
10004_at	6.5938485171785	6.92678379262388	6.17385391990097	6.29412644203062	6.13525867672682	6.75319511941093	6.33537768817478	6.53682341596731	6.35235947453182	6.2398220540512	6.33352052409047	6.37295456148137	6.73410654534657	6.37295456148137	6.29191924645097	6.33812294892331	6.42418166937865	6.55603691002627	6.25206513955017	6.98202614408968	6.28723102281569	6.37295456148137	6.36213024744866
10008_at	6.04101795138586	6.18021669764292	6.02552572298033	5.95231457729257	6.02575650795051	6.04253720571362	6.03636776487992	6.08759711662032	5.93759636237607	6.02705296116784	5.99004011154127	5.93333511801433	6.12616783979567	6.08922738372897	6.02761404099272	6.09864756982302	6.08503260656935	5.95798222393741	6.00700380813632	6.00835775503635	6.02278231467341	6.04377862960037	6.13729354210468
100093630_at	7.72063708582171	7.23373622634068	8.00631878312219	7.16337751438983	7.91576952833555	8.02603788759592	7.22762410936944	7.19249443129595	7.14664002458003	7.4459590509789	7.71080809599402	7.82957431242239	7.21795108300386	6.97571393207915	7.14576925046051	7.57381342118157	6.84517619775972	7.35572890952657	7.49481749524935	7.41395288074813	7.31442834772402	7.48809019786919	7.08045059389558
10009_at	8.03478021761755	7.92050823402252	8.37286383862688	8.15038489827667	8.15636207961373	7.94554467583597	8.24136705004385	7.9841519017621	8.10764067003087	8.29532572847922	8.21668357030778	8.67880475787593	7.33189893465801	8.03197491457601	8.23396862316884	8.24211098126578	7.90183691320453	8.28924515001731	8.55935977368696	7.59665755246605	7.95601321617474	8.23684474233202	8.07267818720422
100101467_at	6.08502484663953	6.26533063048972	5.87479749320703	6.14216475891972	5.8107397301824	5.66395302511974	6.03683925506617	6.04921409600388	6.14282972991709	5.90564654999106	5.97159207557867	6.00311357646348	5.81598227045346	6.12587054250264	6.04055440982446	6.05093277868666	6.09094470642278	5.82714416715482	5.86864225642558	5.86106112476782	6.29729009051259	6.24694015934374	6.06362900340206
100113407_at	3.66814231728126	4.07728654011661	3.65279744170288	3.73911881201203	3.5805312538821	3.70563936891973	3.74927486803354	3.56339594540114	3.84069238478833	3.92763513569674	3.52694335693452	3.76781913940004	3.42438305336047	3.61622297910249	3.57819958796887	3.52856821874413	3.66814231728126	3.67989178486629	3.68390663748618	3.55272815610275	3.59926224698623	3.62919487324486	3.76169990137595
10011_at	7.27807900052909	7.30138960728725	7.58742941215352	7.22590980399266	7.59729281166065	7.26127572386717	7.27197865870485	7.05875813498389	6.99573680737115	7.03124151574064	7.32916593993849	7.30314569132557	7.21517664927569	6.81972182329684	7.19862581411918	7.31167937854635	7.11762488769258	7.3843668283575	7.12955214111896	7.24226891501842	7.17226701489586	7.06025555034903	7.06218915870208
100124700_at	3.40039061010462	3.50053828453041	3.39173864437464	3.42959490905364	3.28662891315341	3.58307830030648	3.49540430750401	3.41946621219364	3.54698966755321	3.28612735030025	3.35913328425581	3.2153592639017	3.34675412815785	3.47164850148868	3.42597040271564	3.37807810703308	3.35119184642628	3.37517315089012	3.30133013109199	3.48706294016754	3.45942357892239	3.35296706051718	3.36876977157914
100125288_at	7.70829529536786	7.38517077608807	7.33928092234137	7.66340464208909	7.21229308168301	7.39509755605115	7.61015925920796	7.75234349034823	7.67402840024466	7.24262018347608	7.37060045017757	7.36174173828784	7.3675204753816	7.63996994476466	7.50738546461703	7.3721730734068	7.39568243701431	7.19812672603208	7.30901532950253	7.32469430369593	7.79701515240017	7.57273118996012	7.7401776203987
100126784_at	5.18782907499649	4.91521697203738	4.93493325813162	5.099459458013	4.99187694411767	4.89629751900201	5.21367963204351	5.26260061981869	5.05667732064789	5.04424067133844	5.08164913874767	5.05273866834983	5.09346312298203	5.15569658146543	5.06046480214904	5.0078522865071	5.01468819064217	4.93819526514509	5.04723599816041	5.21420924362531	5.09038451703698	5.1338603445284	5.09946415523824
100126791_at	6.36797099132435	6.31402700150826	5.9658860687325	6.22257743587851	6.19713387268791	6.53868722457334	6.34540930036588	6.46892476502566	6.40131808632185	6.04603427907979	6.12355157538408	6.13362873818355	6.10591468434922	6.40171649732278	6.21604599118454	6.05990828880438	6.0028443550306	6.14023186018242	5.89801731401044	6.53785824141708	6.37996858913965	6.45593329767909	6.4079204033904
100126793_at	5.05195076123639	5.20863513600022	4.87427455810975	4.94177670644423	4.96540063929986	4.98785965541404	4.86796747211427	4.99543480491061	5.06968472557877	4.97908247175274	4.95439687212333	4.91394858270442	5.14290958748707	5.10565396919634	5.01863994943291	4.93497248274456	5.06963106342882	4.8571859508199	4.90003915131232	5.06003670687538	5.01834533886179	5.04377853085019	5.008144830912
100127983_at	6.2525090566541	6.21860328495587	5.98207761164994	5.85939248086094	5.74958593136313	5.97877278114512	5.98207761164994	6.01958381625072	6.15583278439049	5.91595374700637	5.8939128058476	6.04555362404737	5.93431501867097	6.1821488069841	6.032608204087	5.94965509702367	5.98207761164994	5.83167462363363	5.93380454257571	5.87236890237712	6.10567905397043	6.13966369257276	5.95309270834482
100128011_at	3.71571003500257	3.78696264962846	3.74769312461117	3.8082788393078	3.92157126378286	3.90719710076511	3.72347364262977	3.76035114761699	3.82998116495564	3.78696264962846	3.67655558528389	3.76325666168518	3.71986972010681	3.83869882699606	3.83397235391057	3.89406581957105	3.66360123481063	3.76775795997477	3.64879894316144	3.83870952310163	3.75749881047435	3.85387161350951	3.8607952050355
100128071_at	5.45188971773922	5.46831857096366	5.17202537957209	5.3153846611238	5.22089130347688	5.2054920023444	5.2923240564628	5.15820989040496	5.31811622142905	5.12880458359254	5.20686339502946	5.24295948043784	5.68632406882341	5.11808775135263	5.52090825098446	5.38523061029636	5.35045881720974	5.19439517808676	5.23889763747567	5.55506386447831	5.42663610288334	5.51920954927245	5.6212122151844
100128098_at	7.7132632662906	7.12434968939823	7.87652899346178	7.80594941496234	8.11451342279945	7.37415136187105	7.92629967269423	7.7052810434651	8.14852486878935	7.69423055461664	8.07225261439713	7.716834674847	7.40817358955451	7.81050979795852	8.00759913988865	7.60357499194265	8.11087167303068	8.14262237052795	7.50247968549806	7.906986480038	7.65686294768102	7.83535673633503	7.86887369822187
100128139_at	3.34427117302406	4.14346028747048	3.27616680529631	3.39654388523166	3.43691540545548	3.69664826597758	3.29832011879585	3.41286396701818	3.48330606440617	3.37753134030329	3.40029349229033	3.34377420664557	3.73610240282134	3.46534006699303	3.45642969759452	3.34011162720992	3.40297020046435	3.46802862424275	3.40696527513348	3.96675847197027	3.28878290144686	3.50214847196136	3.3838422411439
100128164_at	6.00784175200929	6.19778818827459	6.03093233109671	6.03804995971889	6.21293977821264	6.10483448561787	6.10492580668448	6.12812141779501	6.05761122064015	6.14059704752345	6.07156297871894	6.04857927218411	6.14356700259729	6.18968661988862	6.33752083382313	6.06910021714891	6.0691296731031	5.88370805654162	5.90858555279566	6.08340928058753	6.06348492334679	6.15094223312666	6.0708910389795
100128191_at	5.23858839453938	5.05325181712045	4.85588114432351	5.01880792282813	4.98256971786756	5.13238693789177	5.15505090134962	5.43893954791319	5.33811050519799	4.8976421108043	4.74758415669265	4.79634059681834	4.917640533911	5.46309861005301	5.00630716130079	4.89951916679804	5.31463860020085	4.72054467348359	4.74906902635274	5.06640963935414	4.93128674227037	5.40812688404592	4.93704735546679
